af: Afrikaans: af-ZA
sq: Albanian: sq-AL
am: Amharic: am-ET
ar: Arabic: ar-JO,ar-EG,ar-JO,ar-LB,ar-MA,ar-SA,
hy: Armenian: hy-AM
as: Assamese: as-IN
az: Azerbaijani: az-AZ
eu: Basque: eu-ES
bn: Bengali: bn-IN
bs: Bosnian: bs-BA
bg: Bulgarian: bg-BG
my: Burmese: my-MM
ca: Catalan: ca-ES
zh: Chinese: wuu-CN,yue-CN,zh-CN,zh-CN-shandong,zh-CN-sichuan,zh-HK,zh-TW
hr: Croatian: hr-HR
cs: Czech: cs-CZ
da: Danish: da-DK
nl: Dutch: nl-BE,nl-NL
en: English: en-US,en-GB,en-IN,en-AU,en-CA
et: Estonian: et-EE
fil: Filipino: fil-PH
fi: Finnish: fi-FI
fr: French: fr-BE,fr-CA,fr-CH,fr-FR
gl: Galician: gl-ES
ka: Georgian: ka-GE
de: German: de-AT,de-CH,de-DE
el: Greek: el-GR
gu: Gujarati: gu-IN
he: Hebrew: he-IL
hi: Hindi: hi-IN
hu: Hungarian: hu-HU
is: Icelandic: is-IS
id: Indonesian: id-ID
ga: Irish: ga-IE
zu: isiZulu: zu-ZA
it: Italian: it-CH,it-IT
ja: Japanese: ja-JP
jv: Javanese: jv-ID
kn: Kannada: kn-IN
kk: Kazakh: kk-KZ
km: Khmer: km-KH
sw: Kiswahili: sw-KE,sw-TZ
ko: Korean: ko-KR
lo: Lao: lo-LA
lv: Latvian: lv-LV
lt: Lithuanian: lt-LT
mk: Macedonian: mk-MK
ms: Malay: ms-MY
ml: Malayalam: ml-IN
mt: Maltese: mt-MT
mr: Marathi: mr-IN
mn: Mongolian: mn-MN
ne: Nepali: ne-NP
nb: Norwegian Bokmål: nb-NO
or: Odia: or-IN
ps: Pashto: ps-AF
fa: Persian: fa-IR
pl: Polish: pl-PL
pt: Portuguese: pt-BR,pt-PT
pa: Punjabi: pa-IN
ro: Romanian: ro-RO
ru: Russian: ru-RU
sr: Serbian: sr-RS
si: Sinhala: si-LK
sk: Slovak: sk-SK
sl: Slovenian: sl-SI
so: Somali: so-SO
es: Spanish: es-AR,es-BO,es-CL,es-CO,es-CR,es-CU,es-DO,es-EC,es-ES,es-GQ,es-GT,es-HN,es-MX,es-NI,es-PA,es-PE,es-PR,es-PY,es-SV,es-US,es-UY,es-VE
sv: Swedish: sv-SE
ta: Tamil: ta-IN
te: Telugu: te-IN
th: Thai: th-TH
tr: Turkish: tr-TR
uk: Ukrainian: uk-UA
ur: Urdu: ur-IN
uz: Uzbek: uz-UZ
vi: Vietnamese: vi-VN
cy: Welsh: cy-GB
